fiscal_date,quarter,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,ticker
2023-01-31,4.0,35831000000.0,23905000000.0,11926000000.0,4752000000.0,,3362000000.0,3.31,3.3,1015000000.0,1018000000.0,5554000000.0,3362000000.0,,,,6549000000.0,,43000000.0,451000000.0,HD
2023-12-31,2.0,21441000000.0,10144000000.0,11297000000.0,5775000000.0,-1164000000.0,3493000000.0,1.44,1.4,2358000000.0,2468400000.0,6806000000.0,3493000000.0,-25000000.0,,,5522000000.0,,133000000.0,248000000.0,PG
2023-09-30,1.0,21871000000.0,10501000000.0,11370000000.0,5766000000.0,132000000.0,4556000000.0,1.89,1.83,2360000000.0,2475200000.0,6729000000.0,4556000000.0,-35000000.0,,,5604000000.0,,128000000.0,225000000.0,PG
2023-06-30,4.0,20553000000.0,10613000000.0,9940000000.0,4162000000.0,195000000.0,3392000000.0,1.4,1.37,2417142857.0,2477500000.0,5179000000.0,3392000000.0,-8000000.0,,,5778000000.0,,116000000.0,240000000.0,PG
2023-03-31,3.0,20068000000.0,10404000000.0,9664000000.0,4248000000.0,179000000.0,3424000000.0,1.41,1.37,2359100000.0,2473200000.0,5202000000.0,3424000000.0,-27000000.0,,,5416000000.0,,83000000.0,222000000.0,PG
2022-12-31,2.0,20773000000.0,10897000000.0,9876000000.0,4785000000.0,155000000.0,3959000000.0,1.63,1.59,2365900000.0,2481200000.0,5659000000.0,3959000000.0,-26000000.0,,,5091000000.0,,66000000.0,171000000.0,PG
2023-11-30,1.0,57799000000.0,50457000000.0,7342000000.0,1984000000.0,3000000.0,1589000000.0,3.58,3.58,443827000.0,444403000.0,2642000000.0,1589000000.0,,,,5358000000.0,,157000000.0,38000000.0,COST
2023-08-31,4.0,78939000000.0,69219000000.0,9720000000.0,2781000000.0,26000000.0,2160000000.0,4.87,4.86,443880000.0,444450000.0,3681000000.0,2160000000.0,0.0,,,6939000000.0,,212000000.0,56000000.0,COST
2023-05-31,3.0,53648000000.0,47175000000.0,6473000000.0,1679000000.0,9000000.0,1302000000.0,2.94,2.93,443814000.0,444360000.0,2270000000.0,1302000000.0,0.0,,,4794000000.0,,119000000.0,36000000.0,COST
2023-02-28,2.0,55266000000.0,48423000000.0,6843000000.0,1903000000.0,3000000.0,1466000000.0,3.3,3.3,443877000.0,444475000.0,2484000000.0,1466000000.0,0.0,,,4940000000.0,,111000000.0,34000000.0,COST
2023-01-31,,55266000000.0,48423000000.0,6843000000.0,1903000000.0,3000000.0,1466000000.0,3.3,3.3,443877000.0,444475000.0,2014000000.0,,0.0,,,4940000000.0,,105000000.0,34000000.0,COST
2023-12-31,3.0,12041103000000.0,9355813000000.0,2685290000000.0,1680943000000.0,-17316000000.0,1384103000000.0,1006.2,1006.2,1349447426.0,1349447426.0,2629466000000.0,1384103000000.0,-26289000000.0,,,1004347000000.0,,206364000000.0,34452000000.0,TM
