symbol,name,exchange,sector,industry,employees,zip,state,country
5KD,Eurobattery Minerals AB,FSX,,,0,,,Germany
CHSN,Chanson International Holding - Class A Ordinary Shares,NASDAQ,Consumer Cyclical,Restaurants,354,,,China
6LQ,High Arctic Energy Services Inc,FSX,Energy,Oil & Gas Equipment & Services,112,T2P 0L4,AB,Canada
FRYA,Swedbank AB,FSX,Financial Services,Banks - Regional,17275,172 63,,Sweden
300187,"Yonker Environmental Protection Co.,Ltd.",SZSE,Industrials,Waste Management,720,410330,,China
ALWEC,Techniline SA,EURONEXT,Technology,Consumer Electronics,212,75008,,France
001339,"JWIPC Technology Co., Ltd.",SZSE,Technology,Computer Hardware,1621,,,China
83S2,SSP Group plc,FSX,Consumer Cyclical,Restaurants,42000,NW1 7HW,,United Kingdom
CNPBP,CNP Assurances SA 6.25%-FRN SUB PERP EUR1000 'REGS',EURONEXT,,,0,,,France
SWUT,SW Umwelttechnik Stoiser & Wolschner AG,VSE,Industrials,Pollution & Treatment Controls,709,9020,,Austria
GX6,"TPI Composites, Inc.",FSX,Industrials,Specialty Industrial Machinery,12300,85258,AZ,United States
WO7,Grodno Spólka Akcyjna,FSX,Technology,Electronics & Computer Distribution,740,05-126,,Poland
4MDT,Medtronic plc,MTA,,,95000,2,,Ireland
YC2,Yida China Holdings Limited,FSX,,,538,,,China
BTTX,"Better Therapeutics, Inc.",NASDAQ,Healthcare,Biotechnology,54,94104,CA,United States
BBN,BlackRock Taxable Municipal Bond Trust,NYSE,Financial Services,Asset Management,0,10001,NY,United States
RFG,Invesco S&P MidCap 400 Pure Growth ETF,NYSE,,,0,,,United States
ENV,Envestnet Inc,NYSE,Technology,Software—Application,3069,19312,PA,United States
FPNUF,FP Newspapers Inc,OTC,Communication Services,Publishing,0,V6B 4N8,BC,Canada
NYTTO,Svenska Nyttobostäder AB ,OMX,Real Estate,Real Estate Services,8,111 59,,Sweden
FLAP,Flap Kongre Toplanti Hizmetleri Otomotiv ve Turizm A.S.,BIST,Consumer Cyclical,Travel Services,35,,,Turkey
SAH,Sonic Automotive Inc,NYSE,Consumer Cyclical,Auto & Truck Dealerships,10500,28211,NC,United States
S94,Sensata Technologies Holding plc,FSX,Technology,Scientific & Technical Instruments,19400,02703,MA,United States
MTNOY,MTN Group Ltd.,OTC,Communication Services,Telecom Services,0,2195,,South Africa
IDAM,Idarado Mining Co.,OTC,Basic Materials,Gold,0,80111,CO,United States
DS3,DocuSign Inc,FSX,Technology,Software—Application,7336,94105,CA,United States
BWAQR,Blue World Acquisition Corporation,NASDAQ,,,0,10001,NY,United States
BBQ,Beter Bed Holding N.V.,FSX,Consumer Cyclical,"Furnishings, Fixtures & Appliances",918,5405,,Netherlands
TL01,"Tesla, Inc.",FSX,Consumer Cyclical,Auto Manufacturers,140473,78725,TX,United States
BBH,VanEck Vectors Biotech ETF,NASDAQ,,,0,,,United States
CITZ,Citizens Bancshares Corp South Carolina,OTC,Financial Services,Banks—Regional,0,29114,SC,United States
K43,"BRAZE INC.  A DL-,0001",XBER,,,0,,,Germany
ZEEMEDIA,Zee Media Corporation Limited,BSE,Communication Services,Broadcasting,1643,201301,,India
UC9A6Y,UC9A6Y.MI,MTA,,,0,,,Italy
BBRYF,Burberry Group Plc,OTC,Consumer Cyclical,Luxury Goods,9201,SW1P 2AW,,United Kingdom
ALODC,Omer-Decugis & Cie SA,EURONEXT,Consumer Defensive,Food Distribution,32,94538,,France
1OXY,OCCIDENTAL PETROLEUM,MTA,,,0,,,Italy
HTD,John Hancock Tax-Advantaged Dividend Income Fund,NYSE,Financial Services,Asset Management,0,02116,MA,United States
4LMT,Lockheed Martin Corporation,MTA,,,122000,20817,MD,United States
SMZ1,Sino Biopharmaceutical Ltd,FSX,Healthcare,Biotechnology,26079,,,Hong Kong
